"date","Year","Week","Date.start","Date.stop","Invalid.results","Non-VOCs","501Y.V1","501Y.V2","501Y.V3","B.1.617.1","B.1.617.2","BA.1","BA.2","BA.3","BA.4","BA.5","Recombinants","Total.tests.performed","%.VOCs","Invalid.results.active","Non-VOCs.active","501Y.V1.active","501Y.V2.active","501Y.V3.active","B.1.617.1.active","B.1.617.2.active","BA.1.active","BA.2.active","BA.3.active","BA.4.active","BA.5.active","Recombinants.active","Total.tests.performed.active","date_start","date_stop","voc_alpha","voc_beta","voc_gamma","voc_delta","voc_omicron","voc_ba1","voc_ba2","voc_ba4_ba5","n_sequenced","voc_aggr","sftg_logistic_prob_omicron","sftg_total","sftg_omicron"
2022-06-09,2022,23,"6-jun.","12-jun.",7,0,0,0,0,0,0,1,438,0,73,418,0,930,1,2,0,0,0,0,0,0,0,5,0,13,76,0,94,2022-06-06,2022-06-12,0,0,0,0,439,1,438,491,930,0,NA,NA,NA
2022-06-16,2022,24,"13-jun.","19-jun.",0,0,0,0,0,0,0,1,329,0,64,574,2,970,1,4,0,0,0,0,0,0,0,4,0,13,82,1,100,2022-06-13,2022-06-19,0,0,0,0,330,1,329,638,970,0,NA,NA,NA
2022-06-23,2022,25,"20-jun.","26-jun.",8,0,0,0,0,0,0,2,253,0,90,828,0,1173,1,0,0,0,0,0,0,0,0,9,0,18,184,0,211,2022-06-20,2022-06-26,0,0,0,0,255,2,253,918,1173,0,NA,NA,NA
2022-06-30,2022,26,"27-jun.","3-jul.",13,0,0,0,0,0,0,1,172,0,124,1301,0,1598,1,3,0,0,0,0,0,0,0,14,0,7,95,0,116,2022-06-27,2022-07-03,0,0,0,0,173,1,172,1425,1598,0,NA,NA,NA
2022-07-07,2022,27,"4-jul.","10-jul.",35,0,0,0,0,0,0,0,89,0,85,1365,1,1540,1,0,0,0,0,0,0,0,0,22,0,0,34,1,57,2022-07-04,2022-07-10,0,0,0,0,89,0,89,1450,1540,0,NA,NA,NA
2022-07-14,2022,28,"11-jul.","17-jul.",9,0,0,0,0,0,0,2,45,0,80,1143,0,1270,1,1,0,0,0,0,0,0,0,9,0,2,35,0,46,2022-07-11,2022-07-17,0,0,0,0,47,2,45,1223,1270,0,NA,NA,NA
2022-07-21,2022,29,"18-jul.","24-jul.",21,0,0,0,0,0,0,0,21,0,55,1166,0,1242,1,1,0,0,0,0,0,0,0,6,0,0,22,0,28,2022-07-18,2022-07-24,0,0,0,0,21,0,21,1221,1242,0,NA,NA,NA
2022-07-28,2022,30,"25-jul.","31-jul.",6,0,0,0,0,0,0,1,17,0,49,912,0,979,1,0,0,0,0,0,0,0,0,3,0,0,10,0,13,2022-07-25,2022-07-31,0,0,0,0,18,1,17,961,979,0,NA,NA,NA
2022-08-04,2022,31,"1-aug.","7-aug.",2,0,0,0,0,0,0,0,11,0,44,917,0,972,1,0,0,0,0,0,0,0,0,0,0,1,12,0,13,2022-08-01,2022-08-07,0,0,0,0,11,0,11,961,972,0,NA,NA,NA
2022-08-11,2022,32,"8-aug.","14-aug.",8,0,0,0,0,0,0,2,5,0,34,760,0,801,1,0,0,0,0,0,0,0,0,2,0,0,6,0,8,2022-08-08,2022-08-14,0,0,0,0,7,2,5,794,801,0,NA,NA,NA
2022-08-18,2022,33,"15-aug.","21-aug.",17,0,0,0,0,0,0,1,2,0,38,781,0,839,1,0,0,0,0,0,0,0,0,0,0,0,16,0,16,2022-08-15,2022-08-21,0,0,0,0,3,1,2,819,839,0,NA,NA,NA
2022-08-25,2022,34,"22-aug.","28-aug.",11,0,0,0,0,0,0,0,1,0,22,707,1,731,1,0,0,0,0,0,0,0,0,0,0,0,14,0,14,2022-08-22,2022-08-28,0,0,0,0,1,0,1,729,731,0,NA,NA,NA
