"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_G_0_9","rna_G_10_19","rna_G_20_29","rna_G_30_39","rna_G_40_49","rna_G_50_59","rna_G_60_69","rna_G_70_79","rna_G_80_89","rna_G_90_99"
2022-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301943122268013,0.198056877731986,0,0.473197134604368,0.436206573881345,0.090596291514287,0,0.25,0.5,0.75,0.150971561134007,0.0990284388659932,0.155926945947759,0.0940730540522413,0,0,0,0,4.35,3.17583174207758,3.13582699153051,2.96681883979688,2.62486494012486,2.1716094633624,1.73147027402205,0.648423319889779,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301943122268013,0.198056877731986,0,0.473197134604368,0.436206573881345,0.090596291514287,0,0.25,0.5,0.75,0.150971561134007,0.0990284388659932,0.155926945947759,0.0940730540522413,0,0,0,0,4.35,3.17583174207758,3.13582699153051,2.96681883979688,2.62486494012486,2.1716094633624,1.73147027402205,0.648423319889779,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301943122268013,0.198056877731986,0,0.473197134604368,0.436206573881345,0.090596291514287,0,0.25,0.5,0.75,0.150971561134007,0.0990284388659932,0.155926945947759,0.0940730540522413,0,0,0,0,4.35,3.17583174207758,3.13582699153051,2.96681883979688,2.62486494012486,2.1716094633624,1.73147027402205,0.648423319889779,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.949052668653993,0.300947331346007,0,0.467780837843275,0.282219162156725,0,0,0,6,0.75,1.34873689153866,0.401263108461342,0.296412928900827,0.203587071099173,0,0,0,0,0,2.55,2.45640014088517,1.77768041587765,0.860538836588412,0.586049109354724,0.54788920497753,0.221442292316505,0.104845570804057,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.949052668653993,0.300947331346007,0,0.467780837843275,0.282219162156725,0,0,0,6,0.75,1.34873689153866,0.401263108461342,0.296412928900827,0.203587071099173,0,0,0,0,0,2.55,2.45640014088517,1.77768041587765,0.860538836588412,0.586049109354724,0.54788920497753,0.221442292316505,0.104845570804057,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.949052668653993,0.300947331346007,0,0.467780837843275,0.282219162156725,0,0,0,6,0.75,1.34873689153866,0.401263108461342,0.296412928900827,0.203587071099173,0,0,0,0,0,2.55,2.45640014088517,1.77768041587765,0.860538836588412,0.586049109354724,0.54788920497753,0.221442292316505,0.104845570804057,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.949052668653993,0.300947331346007,0,0.467780837843275,0.282219162156725,0,0,0,6,0.75,1.34873689153866,0.401263108461342,0.296412928900827,0.203587071099173,0,0,0,0,0,2.55,2.45640014088517,1.77768041587765,0.860538836588412,0.586049109354724,0.54788920497753,0.221442292316505,0.104845570804057,0.0451544291959431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
